nameGiven,debut,finalGame,BOD,firstgame_age,lastgame_age,carrer_length
"Vida Rochelle",1969-07-20,1986-10-02,1949-7-28,19,37,17
"Oswald Louis",1922-04-24,1939-07-13,1900-10-24,21,38,17
"Eric Keith",1984-05-19,2001-10-07,1962-5-29,21,39,17
"James Patrick",1993-09-09,2010-09-21,1970-6-27,23,40,17
"John Frederick",1920-06-29,1937-09-26,1899-9-17,20,38,17
"Victor Jose",1963-04-09,1980-10-06,1936-7-31,26,44,17
"Moises Rojas",1990-07-26,2008-06-10,1966-7-3,24,41,17
"Douglas Keith",1992-09-08,2009-10-02,1967-5-16,25,42,17
"Luis Ernesto",1956-04-17,1973-09-28,1934-4-29,21,39,17
Jose,1970-09-19,1988-07-19,1947-8-8,23,40,17
"Charles Andrew",1888-04-21,1905-06-13,1866-8-31,21,38,17
"Warren Livingston",1974-09-06,1991-09-15,1953-9-29,20,37,17
"David Bruce",1975-08-26,1992-10-04,1953-6-6,22,39,17
"Delmar Wesley",1949-06-17,1966-09-25,1930-3-5,19,36,17
"Bradley David",1993-07-28,2010-10-03,1969-4-14,24,41,17
"Thomas William",1890-04-19,1907-07-10,1869-1-4,21,38,17
"David Gus",1972-04-15,1989-06-17,1951-8-27,20,37,17
"Mark Henry",1965-08-07,1982-10-02,1944-6-8,21,38,17
Roger,1880-05-01,1897-05-18,1857-7-1,22,39,17
"Jeffrey Guy",1990-09-16,2007-09-30,1966-6-27,24,41,17
Roberto,1955-04-17,1972-10-03,1934-8-18,20,38,17
"Ellis Rena",1987-04-30,2004-10-02,1964-9-11,22,40,17
Bartolo,1997-04-04,2014-09-28,1973-5-24,23,41,17
"Patrick Lance",1988-04-06,2005-07-27,1963-5-14,24,42,17
"Patrick Joseph",1890-04-19,1907-10-05,1865-3-16,25,42,17
"Jose Rosario Domec",1963-04-14,1980-10-03,1943-10-7,19,36,17
"Arnold Malcolm",1937-05-02,1954-09-11,1916-4-4,21,38,17
"Thomas Marian",1970-09-12,1987-10-04,1946-11-2,23,40,17
"Vada Edward",1958-04-15,1975-09-28,1938-8-11,19,37,17
"Leroy Robert",1948-07-09,1965-09-25,1906-7-7,42,59,17
"Willie Dean",1982-05-10,1999-10-03,1958-11-2,23,40,17
"Robert Lincoln",1890-04-19,1907-10-06,1865-7-10,24,42,17
"Gregory Richard",1987-09-12,2005-04-22,1966-4-14,21,39,17
"Juan Roman",1957-05-04,1974-09-26,1937-2-7,20,37,17
"Robert Lane",1957-06-26,1974-09-28,1939-2-18,18,35,17
"Pedro Jaime",1992-09-24,2009-09-30,1971-10-25,20,37,17
"Michael Cole",1991-08-04,2008-09-28,1968-12-8,22,39,17
"Valentine John",1916-07-25,1933-08-28,1896-9-8,19,36,17
"August Rodney",1928-04-30,1945-09-11,1905-12-5,22,39,17
"John Scott",1977-07-26,1994-08-07,1955-5-16,22,39,17
"Camilo Alberto",1954-04-15,1971-05-05,1934-1-20,20,37,17
"Joseph J.",1884-04-26,1901-07-23,1864-12-25,19,36,17
"John Francis",1928-09-15,1945-09-26,1902-3-23,26,43,17
"Keith Anthony",1982-05-10,1999-08-15,1959-4-25,23,40,17
"Willie Larry",1975-07-29,1992-10-04,1954-7-6,21,38,17
"Roger Thorpe",1910-09-15,1927-09-25,1891-2-5,19,36,17
"Daniel Knowles",1926-08-25,1943-09-13,1905-6-10,21,38,17
"Robert Craig",1975-08-13,1993-05-17,1952-4-29,23,41,17
"Antonio Francesco",1980-09-01,1997-09-28,1957-6-4,23,40,17
"Bobby Ray",1965-09-08,1983-06-11,1946-5-20,19,37,17
"Lee Andrew",1965-09-01,1982-09-24,1943-3-23,22,39,17
"Manuel Aristides",1993-09-02,2011-04-06,1972-5-30,21,38,17
"Albert Joseph",1884-06-20,1901-09-09,1865-10-9,18,35,17
"John Robert",1936-04-16,1953-09-26,1913-1-7,23,40,17
"Daniel Thomas",1986-04-11,2003-09-28,1962-2-4,24,41,17
Edgar,1987-09-12,2004-10-03,1963-1-2,24,41,17
"Mickey Charles",1951-04-17,1968-09-28,1931-10-20,19,36,17
"John Albert",1969-06-18,1986-10-03,1948-11-7,20,37,17
"James Patrick",1975-09-04,1992-10-04,1954-10-22,20,37,17
"Walter Edward",1939-05-08,1956-09-24,1920-6-22,18,36,17
"Robert James",1966-09-03,1984-06-20,1945-11-20,20,38,17
"David Americo",1997-09-02,2014-09-23,1975-11-18,21,38,17
Albert,1968-09-23,1985-10-05,1946-10-14,21,38,17
"John Alexander",1882-05-02,1899-10-15,1859-11-1,22,39,17
"William Beck",1936-06-13,1953-09-19,1914-12-11,21,38,17
"Bret William",1984-04-04,2001-08-07,1964-4-11,19,37,17
"James P.",1885-10-08,1903-09-24,1863-2-11,22,40,17
"William Ellis",1969-04-07,1986-10-01,1948-10-21,20,37,17
"Ernesto Natali",1931-04-15,1947-09-17,1908-4-6,23,39,16
"Phillip Anthony",1961-04-29,1977-05-30,1941-3-5,20,36,16
"Scott Bruce",1996-08-01,2012-10-03,1975-4-4,21,37,16
Guillermo,1966-04-12,1982-10-02,1948-4-1,18,34,16
Andrew,1943-09-24,1959-09-29,1921-2-25,22,38,16
"Elwin Charles",1938-08-22,1954-09-04,1916-2-26,22,38,16
"James Anthony",1950-09-07,1967-05-01,1929-11-14,20,37,16
"Anthony John",1998-09-09,2014-09-23,1976-12-30,21,37,16
Aurelio,1967-09-01,1983-10-01,1947-12-28,19,35,16
"Edward Stewart",1901-05-13,1917-08-06,1875-8-31,25,41,16
"Derek Christopher",1997-04-26,2013-05-19,1973-6-1,23,39,16
Wilbert,1886-04-19,1902-09-29,1864-6-29,21,38,16
"Jorge Rafael",1995-09-04,2011-09-28,1971-8-17,24,40,16
"Lipman Emanuel",1871-05-09,1887-07-28,1845-5-25,25,42,16
"Johnny Leonard Roosevelt",1928-04-16,1944-10-01,1904-2-29,24,40,16
"William Henry",1966-09-20,1983-05-23,1943-6-26,23,39,16
"Glenn Calvin",1920-04-15,1936-09-09,1897-7-9,22,39,16
"Milton Stephen",1957-08-10,1973-09-18,1939-5-11,18,34,16
"Darrell Ray",1971-09-02,1987-10-04,1952-1-17,19,35,16
"Chan Ho",1994-04-08,2010-10-01,1973-6-30,20,37,16
"Otis Junior",1983-09-09,1999-10-03,1959-1-9,24,40,16
"Clyde Edward",1940-04-28,1956-07-22,1917-3-4,23,39,16
"Robert T.",1871-05-04,1887-10-10,1851-11-21,19,35,16
"Fredric Michael",1974-09-05,1990-10-03,1952-2-3,22,38,16
"David Allan",1979-09-16,1995-09-18,1958-11-28,20,36,16
"Ray Coleman",1935-05-11,1951-09-09,1912-3-8,23,39,16
Christopher,1900-07-17,1916-09-04,1880-8-12,19,36,16
"William Stanley",1956-07-07,1972-10-04,1936-9-5,19,36,16
"Dale Bryan",1976-09-13,1993-05-21,1956-3-12,20,37,16
"Orlando Gregorio",1958-08-24,1975-05-01,1933-11-17,24,41,16
"Delbert W.",1945-05-02,1961-08-31,1922-10-27,22,38,16
"John Joseph",1953-04-17,1969-06-21,1932-9-30,20,36,16
"Richard William",1908-09-25,1925-09-18,1886-10-9,21,38,16
Aramis,1998-05-26,2014-09-28,1978-6-25,19,36,16
"James Evan",1959-04-23,1975-08-05,1935-10-30,23,39,16
"Edwin Lee",1952-04-15,1968-09-27,1931-10-13,20,36,16
Henry,1939-05-17,1955-07-26,1916-12-13,22,38,16
"Thomas Albert",1987-09-22,2003-09-28,1964-8-13,23,39,16
"Jeffrey Scott",1984-04-05,2000-10-01,1962-11-12,21,37,16
Wallace,1935-04-17,1951-09-30,1910-10-8,24,40,16
"Henry Emmett",1923-04-20,1939-05-22,1901-7-20,21,37,16
"Amos Joseph",1967-09-06,1984-08-05,1947-4-26,20,37,16
"Donald John",1957-06-30,1974-06-29,1930-1-4,27,44,16
"Stephen Francis",1911-09-18,1928-09-14,1891-7-6,20,37,16
"Paul Andrew",1985-09-03,2001-10-07,1963-2-25,22,38,16
"John Garrett",1989-09-03,2005-10-02,1968-8-5,21,37,16
"Charles Augustus",1890-04-23,1906-05-18,1869-9-14,20,36,16
"Raymond Michael",1960-05-19,1977-04-23,1940-12-26,19,36,16
Richard,1910-09-30,1927-09-11,1887-8-25,23,40,16
"Lynwood Thomas",1933-04-15,1949-09-13,1910-1-11,23,39,16
"Malachi Jeddidah",1890-04-19,1906-08-08,1869-10-12,20,36,16
"Jason Alan",1989-09-08,2006-05-31,1967-8-7,22,38,16
"Robert Anthony",1970-06-29,1986-10-02,1949-1-15,21,37,16
"Raymond Ernest",1950-08-27,1966-09-17,1929-12-15,20,36,16
"William Frederick",1931-05-04,1947-09-09,1908-5-9,22,39,16
"John Wesley",1879-05-01,1895-07-13,1857-7-22,21,37,16
"Michael Stephen",1963-05-12,1979-09-23,1940-9-12,22,39,16
"James W.",1875-05-17,1891-10-03,1858-2-10,17,33,16
Kenneth,1991-09-14,2007-09-29,1967-5-31,24,40,16
"Charles Edward",1986-05-29,2002-09-28,1962-11-26,23,39,16
"James Elmer",1976-09-03,1992-10-03,1953-1-5,23,39,16
"George Lange",1915-08-18,1932-07-27,1895-9-10,19,36,16
"Dwight Eugene",1984-04-07,2000-09-29,1964-11-16,19,35,16
"Harry Bartholomew",1909-04-16,1925-10-04,1887-8-24,21,38,16
"Michael Franklin",1930-06-25,1946-09-29,1909-5-27,21,37,16
"Joseph Anthony",1930-07-31,1947-05-11,1906-6-25,24,40,16
"Todd Lynn",1997-08-02,2013-09-29,1973-8-20,23,40,16
"Steven Roy",1980-04-11,1996-06-21,1958-3-10,22,38,16
"William Lawrence",1908-06-25,1924-09-06,1886-5-13,22,38,16
"Eisler Livan",1996-09-24,2012-09-29,1975-2-20,21,37,16
"Jeffrey Franklin",1992-04-12,2008-09-27,1968-3-7,24,40,16
"Edward Charles",1950-07-01,1967-05-21,1928-10-21,21,38,16
"Mark Steven",1997-07-11,2013-09-29,1975-12-2,21,37,16
"Robert Granville",1941-09-09,1958-07-01,1920-9-22,20,37,16
"George Arthur",1969-09-10,1986-09-06,1948-12-1,20,37,16
"Eugene Franklin",1913-09-18,1930-09-06,1892-7-15,21,38,16
"Charles Devine",1915-09-20,1932-07-18,1893-2-7,22,39,16
"Roberto Manuel",1991-09-02,2007-09-25,1964-11-11,26,42,16
"Orel Leonard",1983-09-01,2000-06-26,1958-9-16,24,41,16
"Jerry Wayne",1973-07-26,1989-09-25,1952-2-16,21,37,16
Robert,1959-04-15,1975-09-03,1935-11-9,23,39,16
"Frederick Edward",1922-09-27,1939-05-10,1894-3-10,28,45,16
"James Louis",1961-09-14,1978-05-31,1942-4-4,19,36,16
"Randall Pennington",1936-06-13,1952-09-23,1918-1-23,18,34,16
"Edward Adrain",1993-06-13,2009-09-30,1970-10-2,22,38,16
"Andruw Rudolf",1996-08-15,2012-10-03,1977-4-23,19,35,16
"Robert Moses",1925-04-14,1941-09-28,1900-3-6,25,41,16
"Gregory Eugene",1973-09-05,1989-09-27,1952-8-1,21,37,16
"David Jefferson",1901-09-15,1918-09-02,1880-6-30,21,38,16
"Earl Oliver",1923-09-15,1939-09-30,1899-2-7,24,40,16
"James Laverne",1932-07-20,1948-08-31,1909-11-4,22,38,16
"Brian Douglas",1993-07-31,2009-10-01,1968-9-26,24,41,16
"David Keith",1978-09-22,1995-07-17,1957-2-19,21,38,16
"Ryne Dee",1981-09-02,1997-09-28,1959-9-18,21,38,16
"Roy Edward",1949-04-21,1965-05-09,1926-11-18,22,38,16
"Charles F.",1902-07-01,1918-07-03,1880-9-23,21,37,16
"Sherrod Malone",1911-05-11,1927-07-18,1891-2-18,20,36,16
Fernando,1980-09-15,1997-07-14,1960-11-1,19,36,16
"George Edward Martin",1887-06-27,1903-09-26,1866-3-30,21,37,16
"William Herman",1901-10-05,1918-04-25,1876-2-4,25,42,16
"John Montgomery",1878-07-15,1894-09-29,1860-3-3,18,34,16
"Carl Reginald",1966-09-18,1982-10-03,1945-4-2,21,37,16
"Joseph Floyd",1932-04-17,1948-09-22,1912-3-9,20,36,16
"Matthew Derrick",1987-04-11,2003-05-31,1965-11-28,21,37,16
"Dennis Martin",1975-09-07,1992-04-10,1954-4-17,21,37,16
"Michael Jack",1972-09-12,1989-05-28,1949-9-27,22,39,16
"Timothy Charles",1980-09-06,1996-09-29,1957-9-14,22,39,16
"Larry Kenneth Robert",1989-08-16,2005-10-02,1966-12-1,22,38,16
"Jack Thomas",1992-09-20,2008-09-27,1968-2-26,24,40,16
"Allan Fulton",1953-07-06,1969-10-02,1929-2-5,24,40,16
"Devon Markes",1985-09-02,2001-10-05,1962-12-29,22,38,16
"Scott David",1988-09-05,2004-09-26,1967-2-26,21,37,16
"Jesse Niles",1894-06-17,1911-04-12,1874-7-14,19,36,16
"Lee Arthur",1980-09-01,1997-07-02,1957-12-4,22,39,16
"George W.",1874-05-23,1890-09-13,1851-10-4,22,38,16
"Forest Gregory",1986-08-21,2002-09-23,1965-1-2,21,37,16
"Bobby Gene",1952-07-14,1968-09-21,1929-10-10,22,38,16
"Victor Woodrow",1947-04-15,1963-09-19,1925-2-9,22,38,16
"Jeffrey Scot",1995-07-17,2012-05-28,1975-1-2,20,37,16
"Samuel James Tilden",1897-09-14,1913-09-28,1878-11-23,18,34,16
"William Joseph",1931-06-09,1947-09-03,1910-10-23,20,36,16
"William Joseph",1899-09-13,1916-04-15,1875-2-1,24,41,16
"Joseph Paul",1960-09-25,1977-06-17,1940-7-18,20,36,16
"Michael Augustine",1967-09-10,1984-07-27,1946-8-28,21,37,16
"Robert Lynn",1978-06-20,1994-08-11,1956-11-3,21,37,16
"Harold Joseph",1920-09-15,1937-08-14,1898-11-11,21,38,16
"Darryl Eugene",1983-05-06,1999-10-03,1962-3-12,21,37,16
"Virgil Oliver",1941-09-27,1958-09-26,1917-4-26,24,41,16
"Myron Walter",1956-08-07,1972-09-19,1935-7-21,21,37,16
"Norman Dalton",1958-06-18,1974-08-06,1934-11-10,23,39,16
"Joseph Wilbur",1950-04-23,1966-10-01,1927-10-30,22,38,16
"Jacinto Damion",1992-08-13,2008-09-28,1969-11-11,22,38,16
"Henry Ramon",1997-07-25,2013-09-23,1971-8-29,25,42,16
"James Michael",1982-04-06,1998-09-26,1959-4-18,22,39,16
Roberto,1988-04-22,2004-09-05,1968-2-5,20,36,16
"Jesus Maria Rojas",1963-09-10,1979-09-29,1942-3-24,21,37,16
"Norman Arthur",1898-05-30,1914-09-24,1875-4-13,23,39,16
"Ricardo Adolfo Jacobo",1963-09-15,1979-09-23,1939-9-1,24,40,16
"Johnny David",1995-08-12,2012-08-01,1973-11-5,21,38,16
"Alan Duane",1992-09-15,2009-07-10,1970-1-23,22,39,16
"Wilson Eduardo",1989-07-24,2005-09-28,1970-3-24,19,35,16
"Leon Kessling",1903-09-14,1919-09-25,1882-8-2,21,37,16
"Garret Joseph",1994-07-27,2010-08-06,1972-6-30,22,38,16
"Hazen Shirley",1921-09-29,1938-09-14,1898-8-30,23,40,16
William,1880-09-09,1897-05-27,1859-10-17,20,37,16
"Elroy Leon",1953-04-16,1969-08-15,1928-2-20,25,41,16
"Brett Morgan",1981-08-20,1997-09-28,1957-6-15,24,40,16
"Walter George",1925-08-26,1941-08-27,1907-4-30,18,34,16
"Frank Peter Joseph",1932-04-12,1948-10-03,1910-10-4,21,37,16
Morris,1923-06-27,1939-09-01,1902-3-2,21,37,16
Jose,1985-09-02,2001-10-06,1964-7-2,21,37,16
"Orlando Manuel",1958-04-15,1974-09-19,1937-9-17,20,37,16
"Richard Aldo",1975-08-17,1992-07-10,1954-5-19,21,38,16
"Juan Jose",1971-09-04,1988-05-30,1950-5-13,21,38,16
"Craig John",1995-09-17,2011-09-28,1970-8-21,25,41,16
"Royce Spencer",1991-09-20,2007-09-30,1970-1-2,21,37,16
"Johnny Lee",1967-08-28,1983-09-29,1947-12-7,19,35,16
"Carlos Ivan",1998-09-14,2014-09-19,1977-4-24,21,37,16
Adrian,1998-06-24,2014-09-28,1979-4-7,19,35,16
"Carroll Christopher",1971-05-28,1988-05-08,1948-12-26,22,39,16
"Jay Stuart",1986-09-29,2003-09-28,1965-12-11,20,37,16
"Eldred William",1943-09-26,1960-07-21,1920-10-26,22,39,16
"Stanley Raymond",1966-09-09,1982-10-02,1944-12-15,21,37,16
"Robert Sherwood",1962-09-14,1978-10-02,1942-10-13,19,35,16
"William Benjamin",1930-04-15,1946-05-12,1908-12-25,21,37,16
"Michael Terrance",1995-08-27,2011-09-12,1973-1-8,22,38,16
"William Walker",1940-09-25,1957-09-20,1915-1-8,25,42,16
"John J.",1884-04-22,1900-10-02,1864-7-24,19,36,16
"Charles Carbitt",1898-09-15,1914-10-08,1876-12-27,21,37,16
"James Paul David",1955-07-20,1971-09-03,1931-10-23,23,39,16
"Selva Lewis",1950-09-26,1967-07-16,1926-11-22,23,40,16
"Leslie Ambrose",1912-09-30,1928-09-30,1892-11-27,19,35,16
"Thomas Henry",1968-04-10,1984-08-29,1943-8-2,24,41,16
"Miguel Jesus",1996-04-17,2012-10-03,1974-5-4,21,38,16
"John David",1987-09-15,2003-09-26,1964-11-28,22,38,16
"David Brian",1986-06-08,2003-05-28,1963-1-2,23,40,16
"Jack Anthony",1975-09-12,1992-08-28,1955-11-10,19,36,16
"James Alan",1962-04-22,1978-09-29,1939-3-8,23,39,16
"William Leopold",1912-09-01,1929-05-13,1891-1-28,21,38,16
"Eugene Abraham",1930-06-22,1946-09-22,1907-6-13,23,39,16
"William Joseph",1899-08-26,1915-09-28,1878-2-13,21,37,16
"Ryan Scott",1998-05-23,2013-09-29,1977-5-3,21,36,15
"Leonardo Lazaro",1960-07-25,1975-09-26,1938-12-17,21,36,15
"Alphonso Erwin",1961-07-19,1977-07-13,1941-6-28,20,36,15
"John Joseph",1889-08-27,1905-07-13,1869-10-25,19,35,15
"Roberto Martin Antonio",1986-04-09,2001-10-07,1963-2-23,23,38,15
"Carlos Juan",1993-10-01,2009-05-10,1972-6-25,21,36,15
"Edward James",1888-05-22,1903-06-25,1867-10-30,20,35,15
"Christopher John",1997-05-12,2012-10-02,1975-4-27,22,37,15
"Richard Warren",1985-06-12,2000-09-06,1961-12-31,23,38,15
"Earl L.",1999-08-29,2014-09-27,1977-12-21,21,36,15
"David S.",1975-06-07,1990-10-03,1952-10-20,22,37,15
"James Thomas",1960-07-17,1976-05-24,1937-11-14,22,38,15
"Thomas Jefferson Davis",1930-08-13,1946-07-20,1906-12-28,23,39,15
"Howard Jonathan",1915-04-12,1930-05-22,1894-4-24,20,36,15
"Paul L. D.",1964-09-09,1980-06-20,1944-2-1,20,36,15
"Felipe Rojas",1958-06-08,1974-04-24,1935-5-12,23,38,15
"Scott Gavin",1990-06-25,2006-06-08,1968-2-2,22,38,15
"Jeffrey Alan",1970-07-20,1985-10-06,1951-3-7,19,34,15
"Andrew Auguste",1962-09-26,1978-04-20,1943-6-20,19,34,15
"Walter McKinley",1920-04-26,1935-09-27,1897-2-18,23,38,15
"Walter Arthur",1941-09-16,1956-09-30,1921-2-8,20,35,15
"Anthony Francis",1930-04-15,1945-09-25,1907-11-8,22,37,15
"Timothy Christopher",1998-08-07,2013-09-26,1973-10-31,24,39,15
"Kyle Lynn",1999-04-29,2014-06-25,1976-4-14,23,38,15
"Montford Montgomery",1892-09-27,1907-10-04,1869-8-31,23,38,15
"Lloyd Andrew",1925-07-17,1940-08-10,1904-12-25,20,35,15
"Jeffrey Joseph",1991-05-04,2006-05-07,1963-1-5,28,43,15
"Joseph Chris",1983-07-30,1998-09-28,1960-3-7,23,38,15
Louis,1896-09-21,1912-06-03,1872-2-3,24,40,15
Vinicio,1991-09-01,2006-09-28,1967-7-4,24,39,15
"Thomas Tarlton",1882-07-06,1898-05-17,1860-9-21,21,37,15
"Alan Dean",1973-07-03,1989-05-09,1951-7-8,21,37,15
"Juan Gabriel",1995-09-02,2011-06-04,1972-6-20,23,38,15
"Thomas Caesar",1983-08-08,1999-07-24,1957-8-31,25,41,15
"Robert Thomas",1956-09-19,1971-09-28,1938-6-19,18,33,15
"John Cleave",1910-06-28,1925-09-21,1890-6-27,20,35,15
"Estel Crayton",1929-04-18,1944-10-01,1903-8-19,25,41,15
Cesar,1970-06-20,1986-06-02,1951-2-25,19,35,15
"Stanley Anthony",1912-09-10,1928-08-03,1889-7-13,23,39,15
"Charles Wesley",1878-05-01,1893-09-30,1854-11-21,23,38,15
"Ronald Charles",1971-09-03,1987-07-12,1948-2-15,23,39,15
"Frank Leroy",1898-04-29,1914-04-21,1876-9-9,21,37,15
"Carlos Obed",1990-04-14,2005-09-30,1968-11-4,21,36,15
"Rheal Paul",1991-08-15,2007-04-18,1967-4-23,24,39,15
"Rafael Leonidas",1982-09-06,1998-04-09,1961-10-24,20,36,15
"Eric Cesar",1998-09-08,2014-06-08,1977-12-7,20,36,15
"Cecil Celester",1971-09-08,1987-07-12,1949-12-20,21,37,15
"Bruce Kastulo",1998-09-07,2014-08-28,1977-6-19,21,37,15
"David James",1915-04-14,1930-05-31,1891-4-20,23,39,15
"Salvatore Leonard",1966-09-03,1981-10-03,1944-2-13,22,37,15
"Albert John",1875-07-19,1890-09-09,1856-9-15,18,33,15
"Joseph John",1929-09-20,1945-05-30,1910-11-18,18,34,15
"Floyd Franklin",1977-04-19,1992-08-10,1955-6-10,21,37,15
"Edgar Victor",1905-09-03,1920-09-26,1884-6-19,21,36,15
"Jesse Cail",1890-04-22,1905-10-07,1868-12-4,21,36,15
"Allan James",1999-08-17,2014-09-27,1977-1-3,22,37,15
"John Francis",1910-04-21,1925-05-15,1885-12-4,24,39,15
"George Henry",1914-04-14,1929-09-29,1893-1-31,21,36,15
"Richard Edward",1950-04-24,1965-06-12,1927-12-7,22,37,15
"Michael Joseph",1899-07-19,1914-10-01,1878-5-30,21,36,15
"James Leroy",1922-08-18,1937-09-16,1900-4-23,22,37,15
"Joseph Gordon",1939-04-26,1954-04-30,1917-1-20,22,37,15
"Lawrence Robert",1970-04-07,1985-10-06,1945-12-6,24,39,15
"Joseph Paul",1936-05-03,1951-09-30,1914-11-25,21,36,15
"William John",1933-04-13,1948-06-05,1910-3-29,23,38,15
"Cletis Leroy",1955-06-05,1971-05-23,1937-2-9,18,34,15
"Mark Thomas",1998-09-02,2013-09-29,1975-2-26,23,38,15
"Richard Morrow",1952-06-18,1967-10-01,1930-11-4,21,36,15
"Charles Herbert",1928-07-30,1944-06-11,1904-10-7,23,39,15
"Marquis Deon",1989-08-22,2005-07-31,1967-4-17,22,38,15
"Edgar Leon",1962-09-13,1977-10-02,1944-10-8,17,32,15
"Todd Barton Givin",1993-07-07,2008-08-15,1968-4-24,25,40,15
"Hubert Max",1938-04-20,1953-07-04,1915-8-18,22,37,15
"Mark Edward",1984-04-07,1999-09-24,1960-8-20,23,39,15
"Domingo Felix Andujar",1988-09-02,2003-09-28,1965-5-2,23,38,15
"David John",1962-04-13,1977-09-27,1939-11-27,22,37,15
"Wallace Keith",1986-04-08,2001-06-14,1962-6-16,23,38,15
"Michael Lee",1989-09-01,2004-09-16,1964-12-19,24,39,15
"William Jennings Bryan",1931-08-29,1947-08-01,1909-7-7,22,38,15
"August John",1934-04-29,1949-09-16,1912-5-23,21,37,15
"David Arthur",1971-07-30,1986-10-05,1948-12-21,22,37,15
"Dennis Ward",1934-04-30,1949-05-03,1911-12-7,22,37,15
"James C.",1883-06-02,1898-07-21,1863-4-24,20,35,15
"Mark Eugene",1988-05-02,2003-09-28,1964-6-28,23,39,15
"Oscar Charles",1969-08-27,1985-08-08,1949-12-20,19,35,15
"Louis Klopsche",1931-09-12,1947-05-08,1910-8-13,21,36,15
"Ronald Edwin",1987-09-06,2003-05-25,1965-3-2,22,38,15
"Claude Edward",1965-04-23,1980-09-10,1946-8-17,18,34,15
"Michael Joseph",1878-05-01,1893-09-02,1857-12-31,20,35,15
Leondaus,1972-06-30,1987-10-03,1948-4-10,24,39,15
"Patrick Joseph",1901-09-02,1917-06-24,1880-1-14,21,37,15
"William Dale",1947-04-19,1962-09-30,1926-3-22,21,36,15
"Kenneth Joseph",1965-04-23,1980-07-19,1946-6-15,18,34,15
"James Kendrick",1922-05-01,1937-09-27,1899-1-24,23,38,15
"Woodson George",1954-09-05,1969-09-28,1932-3-25,22,37,15
"Frank Oliver",1958-09-10,1973-09-30,1936-8-8,22,37,15
"Elburt Preston",1934-09-16,1949-10-02,1916-3-18,18,33,15
"Carl Owen",1928-07-26,1943-08-24,1903-6-22,25,40,15
"Philip Mason",1973-09-10,1988-10-02,1949-4-30,24,39,15
"Timothy Adam",1999-06-08,2014-09-24,1975-7-14,23,39,15
"Jose Antonio",1991-08-09,2006-10-01,1969-7-14,22,37,15
"Cornelius Clifford",1993-09-18,2009-06-17,1972-12-5,20,36,15
"Juan Alberto",1989-09-01,2005-05-31,1969-10-20,19,35,15
Keith,1974-08-30,1990-07-24,1953-10-20,20,36,15
"David W.",1871-05-05,1886-08-20,1849-7-27,21,37,15
"William Franklin",1886-07-26,1901-07-30,1865-7-19,21,36,15
"Robert Herbert",1974-07-07,1989-09-25,1950-1-13,24,39,15
"Kenneth Roth",1970-09-07,1986-05-23,1946-9-8,23,39,15
"Terry Jay",1971-04-11,1986-10-02,1952-1-14,19,34,15
"Chester Earl",1975-09-09,1990-10-03,1955-2-12,20,35,15
"William Milton",1923-04-22,1938-10-02,1900-6-23,22,38,15
"Henry Louis",1923-06-15,1939-04-30,1903-6-19,19,35,15
"Derrel McKinley",1965-09-02,1980-10-05,1944-6-6,21,36,15
Alexander,1998-08-25,2014-04-17,1977-2-15,21,37,15
"Albert Peter",1905-09-03,1920-09-24,1883-9-5,21,37,15
"Brian David",1979-09-29,1995-04-29,1959-10-16,19,35,15
"John Frank",1912-04-13,1927-10-02,1889-9-28,22,38,15
"David Andrew",1990-09-16,2005-10-02,1968-11-24,21,36,15
Walter,1914-09-23,1929-10-06,1891-8-18,23,38,15
"Christopher Andrew",1990-07-16,2006-06-29,1966-1-21,24,40,15
"William Wilson",1888-04-23,1903-09-27,1867-3-31,21,36,15
"Harry Leroy",1998-09-20,2013-09-23,1977-5-14,21,36,15
"Darold Duane",1965-04-18,1980-04-18,1941-12-9,23,38,15
"William Ashley",1961-09-26,1976-10-03,1941-11-29,19,34,15
"John Frank",1891-06-27,1907-04-20,1871-10-30,19,35,15
"Jerry Wayne",1998-09-11,2013-09-25,1976-5-29,22,37,15
"Deron Roger",1960-09-20,1976-05-28,1938-7-17,22,37,15
"Kirk Harold",1979-09-08,1995-08-10,1957-5-28,22,38,15
"Irving Darius",1926-04-20,1941-09-16,1904-7-5,21,37,15
"Stanley Camfield",1932-04-12,1947-09-24,1909-12-6,22,37,15
"James Harle",1911-05-03,1926-09-11,1889-12-10,21,36,15
"Linus Reinhard",1933-08-29,1948-09-28,1910-8-23,23,38,15
"Lawrence Cyril",1970-04-30,1985-07-27,1947-11-26,22,37,15
"Oswaldo Jose",1985-04-09,2000-10-01,1964-1-20,21,36,15
"Robert Bartmess",1951-04-28,1966-09-24,1930-11-24,20,35,15
Vladimir,1996-09-19,2011-09-28,1975-2-9,21,36,15
"Mark James",1995-04-28,2010-06-06,1970-6-30,24,39,15
"John Raymond",1972-09-10,1987-09-28,1948-8-4,24,39,15
"Christopher Cory",1993-07-19,2008-09-18,1971-6-16,22,37,15
"Joseph William",1930-04-29,1945-08-05,1900-9-2,29,44,15
"Ryan Anthony",1992-09-12,2007-09-25,1971-6-12,21,36,15
"Stephen Joseph",1941-08-18,1957-07-25,1920-1-15,21,37,15
"Henry Knight",1912-04-12,1927-10-02,1889-9-18,22,38,15
"Mark David",1986-08-22,2001-10-07,1963-10-1,22,38,15
"Herman C.",1889-04-17,1904-07-13,1866-4-13,23,38,15
"Alvin Jacob",1930-08-03,1945-09-30,1908-7-15,22,37,15
